question,answer
What does Amy Sedaris play on BoJack Horseman?,a cat
It looks like a raccoon-rat thing and comes out at night so it's gotta be the...,aye-aye
What is a narrow strip of land that connects two bigger pieces of land with water on either side?,isthmus
When you scare a ladybug what does it do?,releases a stinky fluid from its joints
Teenage Mutant Ninja Turtles II:,The Secret of the Ooze
Which of these books did Gillian Flynn NOT write?,Home Fire
What was the LAST line spoken in the movie Home Alone?,Kevin! What did you do to my room?
Which of the following Orphan Black characters is NOT played by Tatiana Maslany?,Delphine Cormier
Which of these is a non-vascular plant?,moss
What color is St. James Place on a standard Monopoly board?,orange
Which of the following does NOT have a jaw?,lamprey
Who has NOT played the female lead in A Star Is Born?,Liza Minnelli
Which of the following is a species of sunflower?,Jerusalem artichoke
"What does the ""J. J."" in J. J. Abrams stand for?",Jeffrey Jacob
Which of the following was written by Neil Gaiman?,Coraline
Which Sharknado movie is also titled Global Swarming?,the fifth one
Which of the following words was accidentally included in Webster's Dictionary for years despite it not being a real word?,dord
What does the banner that falls at the end of Jurassic Park say?,WHEN DINOSAURS RULED THE EARTH
What's at the top of Maslow's hierarchy of needs?,self-actualization
What am I tasting in this snickerdoodle?,cinnamon sugar
If I wanted to get a small dog what kind should I get?,a chihuahua
What is the rooster's dance to gain favor with the females called?,tidbitting
What flavor are the purple Skittles in Ireland?,black currant
Which of the following is NOT one of The 5 Love Languages according to author Gary Chapman?,faithful devotion
What year did Jon Stewart host his final episode of The Daily Show?,2015
Who makes pianos?,Steinway
Which of these spooky-sounding implements is a real tool?,hex key
Who wrote The Brief Wondrous Life of Oscar Wao?,Junot Diaz
Which of the following is NOT in an egg cream?,egg
"Which Spice Girl does NOT sing a solo line in ""Wannabe""?",Posh
Who are Scott and Mark Kelly?,twin astronauts
Who is Hester Prynne's husband in The Scarlet Letter?,Roger Chillingworth
What movie features the characters Meg Swan Cookie Fleck and Harlan Pepper?,Best in Show
What is a fungal disease that attacks corn?,corn smut
Whose real name is Elizabeth Woolridge Grant?,Lana Del Rey
Which of the following was the 2018 Pantone Color of the Year?,Ultra Violet
What is the name of the gym co-founded by Tamra Judge from The Real Housewives of Orange County?,CUT Fitness
How tall is each letter in the famous Hollywood sign in California?,45 feet
According to People magazine which of the following was the first giant balloon to appear in the 1927 Macy's Thanksgiving Day Parade?,Felix the Cat
Who did Prince Harry marry in 2018?,Rachel Zane from Suits
Which of the following films does NOT feature Daniel Craig as James Bond?,GoldenEye
How old was Leslie Jones when she officially joined the cast of Saturday Night Live?,47
What's a vole?,a small rodent
"Which herb do you burn to rid your house of bad energy in a practice called ""smudging""?",sage
Which of these operas was written by Mozart?,The Marriage of Figaro
What would you NOT find in a classic game of Hungry Hungry Hippos?,a red hippo
What color is Percy the train in Thomas & Friends?,green
What is the piggy bank's name in Toy Story?,Hamm
"According to the Tracy Chapman song you have a fast car, but what does she have?",a plan to get us outta here
Which of Newton's laws of motion addresses acceleration?,the second one
Which of the following is NOT one of the Seven Wonders of the Ancient World?,Acropolis of Athens
Where is Machu Picchu?,Peru
"In the Myers-Briggs Type Indicator what does ""P"" stand for?",perceiving
What is Scout's real name in the book To Kill a Mockingbird?,Jean Louise
How many years are you celebrating at a semicentennial anniversary?,50
What's so special about a lodestone?,it's magnetic
Which of the following is an odd-toed ungulate?,horse
Which of these is a sweet noodle casserole?,kugel
Which family is featured in the novel The Grapes of Wrath?,the Joad family
Who wrote The Secret?,Rhonda Byrne
In the movie Being John Malkovich what classic love story is portrayed in Craig's streetside puppet performance?,Abelard & Heloise
What are you using when you cook something with a bain marie?,a hot water bath
Which instrument is Kenny G best known for playing?,saxophone
What is NaCl?,salt
Which of the following is a preposition?,off
How many cups are in one and a half quarts?,6
Which red fruit is traditionally used to make grenadine?,pomegranate
What color are Dorothy's magic slippers in the original book version of The Wizard of Oz?,silver
Where does the TV show Stranger Things take place?,1980s Indiana
Who wrote The Feminine Mystique?,Betty Friedan
What character did author Beatrix Potter create?,Peter Rabbit
What does one typically do in a natatorium?,go swimming
In boxing terminology what does the T stand for in TKO?,technical
Which character appears in the play Death of a Salesman?,Willy Loman
Besides a bloody surprise why would I be seeing red in a Black Forest cake?,the cherries
"Who did Dolly Parton beg ""please don't take my man""?",Jolene
In the children's TV show Barney & Friends what is Baby Bop?,a green Triceratops
Which of these planets is the farthest away from the Sun?,Neptune
What's the atomic number for helium?,2
In Eric Carle's children's book which of the following is NOT something eaten by The Very Hungry Caterpillar?,a slice of pizza
Which of these doo-hickeys is for looking into ears?,otoscope
"In the comic strip Peanuts which character's last name is NOT ""van Pelt""?",Marcie
In Ghostbusters Rick Moranis is which of the following?,Vinz Clortho the Keymaster
Which Cartoon Network show featuring the Crystal Gems was created by Rebecca Sugar?,Steven Universe
Who wrote the novel Something Wicked This Way Comes?,Ray Bradbury
Which of the following is NOT found in a prokaryotic cell?,nucleus
What was the name of Karen's unseen husband on the TV show Will & Grace?,Stan
What is the product of mass and velocity?,momentum
What movie is based on the real-life relationship of writers Kumail Nanjiani and Emily V. Gordon?,The Big Sick
What is kinetic energy?,energy of motion
Which of these are white blood cells that play an important role in immunity?,T cells
"What is ""the""?",definite article
Cho Chang belongs to which Hogwarts house?,Ravenclaw
Which of these TV shows does NOT feature Ariana Grande in an acting role?,Wizards of Waverly Place
In order to be elected Pope of the Catholic Church a candidate needs support from how many of the eligible Cardinals?,",two thirds"
John James Audubon was well known for drawing and painting what?,birds
"Which word can I substitute for the word ""substitute""?",proxy
Which of these cute fish has a glowing lure growing out of their head?,anglerfish
Which of the following is NOT one of the four bases of DNA?,hermione
What's that song that always makes me cry from the movie musical Once?,Falling Slowly
Where was Marco Polo born?,Italy
Which of the following states of matter has the most tightly packed particles?,solid
Which of the following is a part of your outer or visible ear?,pinna
What is the titular character really good at in The Who's rock opera Tommy?,pinball
What does the raven say in Edgar Allan Poe's The Raven?,Nevermore
What am I doing if I'm nictitating?,winking
In Greek mythology who designed the Minotaur's maze?,Daedalus
Why are there holes in my Swiss cheese?,bubbles of gas
Which of the following is another name for the case that protects shark eggs?,mermaid's purse
What is Cookie Monster's real name?,Sid
Who are the little green construction workers down at Fraggle Rock?,Doozers
What was the name of Will Smith's character in The Fresh Prince of Bel-Air?,Will Smith
Which of my mother's lullabies did NOT feature a character being killed in a car accident?,Mustang Sally
"""Fear is the mind-killer""... according to my father and which sci-fi classic?",Dune
"When a surfer is ""hanging ten"" what does the ""ten"" refer to?",toes
"What is the ""con"" short for in ""con artist""?",confidence
If you took a black light to this hotel what would you find a lot of because they glow under UV light?,scorpions
Dante says there are 9 levels of Hell... but how many levels of Heaven does he describe in Dante's Paradiso?,also 9
What would you traditionally find in a crudités appetizer?,carrot sticks
Which of these plants is a succulent?,aloe
Which Shakespeare play is Marc Antony in... besides Antony and Cleopatra?,Julius Caesar
My uncle Chuck choked on a Choquette which is a type of what?,avocado
Who killed Medusa?,Perseus
What is British spoom?,sorbet
Which of these paintings features a blonde woman?,American Gothic
My dad always called me a parasite specifically a parasitic flatworm that infects the liver called a what?,fluke
What is a Nobel Prize made of?,gold
What happens if you get a mogwai wet?,it multiplies
When did the Red Baron shoot down planes?,during World War I
My Uncle Jeffrey got an otoplasty because of his giant what?,ears
Which musical features Nicely-Nicely Johnson?,Guys and Dolls
Which of these coffee drinks doesn't necessarily contain milk?,Americano
What are Swedish Fish called in Sweden?,Pastel Fish
I want turkey and ham! What type of sandwich should I make?,a Monte Cristo
Which of these ominous warnings is correct?,It's too late!
Which of these is a style of mustache?,the Chevron
What does the Photoshop sponge tool do?,adds/removes color
"""Hell is other people"" according to what?",No Exit by Sartre
What percentage of pee pee is just water?,about 95%
Which of these band names is spelled incorrectly?,Cheap Trik
Which animal is the loudest?,sperm whale
Which of these animals is microscopic?,water bear
Who built the Pyramid of the Sun?,The Aztecs
What does legend say will happen if the groundhog sees its shadow?,six more weeks of winter
Which of these 80s sitcoms is NOT about a space alien?,Small Wonder
How many colored circles are on a Twister mat?,24
Who is the Hindu goddess of time?,Kali
Which of these movies stars somebody in prison for a crime they did NOT commit?,The Shawshank Redemption
My hotel needs to upgrade its CRM software ... what is that?,customer-relationship management
"Which restaurant owns the trademark to ""Death By Chocolate""?",Bennigan's
"In the nursery rhyme what did the ""little dog"" do when the ""cow jumped over the moon""?",laughed
Who is Luna?,a Roman goddess
According to runtime which of these hotels would you be in the longest?,Hotel Rwanda
What makes Tom Hanks big in Big?,a Zoltar machine
Who uses a bone folder?,a home crafter
"""You'll be dead by 9:00 AM!"" What did I mean by that?",9:00 Ante Meridiem
"Where did poet Robert Frost say ""Two roads diverged""?",in a yellow wood
According to the U.S. Department of Agriculture what are mushrooms?,vegetables
What is a sugar glider?,a mammal
Which of my bloody kitchen knives is curved upward?,the scimitar knife
If I stabbed an ice pick in your eye what would I hit first?,my cornea
Which of these is NOT a law of thermodynamics?,temperature decreases as matter decreases
My pet bat just had babies! What do I call them?,pups
What process causes a decomposing corpse to lose internal heat?,algor mortis
Which of these boxing weight classes is the lightest?,Bantamweight
"In theater terms what is ""corpsing""?",breaking character by laughing
What is rum made from?,sugar
Which of these hands wins in a game of blackjack?,a 10 and an Ace
Pick the Nicholas Sparks book where both romantic partners survive!,The Choice
Which direction is the Brazilian statue Christ the Redeemer facing?,East
As of 2018 who has never won a World Cup?,Mexico
If someone weighs 200 lbs about how much of that weight is skeleton?,30 lbs
How does Emily Post say I should set a table?,"forks on the left, knives on the right"
Since cyanide smells like almonds I could easily hide it in....,marzipan
Where can I find some sulfuric acid?,in a car battery
Which of these instruments could I grab by the neck?,lute
Which African nation touches the Indian Ocean?,Tanzania
The International Space Station is about the same size as...,an NFL football field
MCLXVI is what number in Roman numerals?,1166
I need a bunch of drawers for hiding stuff. So I should get an antique....,chiffonier
Which of these Shakespeare plays does NOT have a ghost in it?,Othello
What's lighter than air?,methane
What was accidentally cut out of the painting The Last Supper due to damage?,Jesus' feet
The plasma that surrounds the sun is known as the...,Corona
What does the P in ESP stand for?,perception
Which of these vegetables is technically a flower?,broccoli
Where is Sam I Am NOT offered Green Eggs and Ham?,at the park
In the Mother Goose poem how many little piggies are there?,5
Where was the first subway system?,London
Which of these classic movies about strong independent women features cannibalism?,Fried Green Tomatoes
Which of these is NOT a Janelle Monáe album?,Sex Machina
How do you Dougie?,"Put your arms out front, lean side to side..."
What is the hottest planet in our solar system?,Venus
Whose army rediscovered the Rosetta Stone?,Napoleon's
Bubble wrap was originally invented to be...,wallpaper
"Which of these would be ""boxcars"" in a game of craps?",rolling twelve
Which of these movie monsters does NOT kill anybody?,The Babadook
What is the half-life of uranium-238?,4.5 billion years
What's that weird flappy red thing on a turkey's neck called?,a wattle
What's the name of the Salvador Dali painting with all those melty clocks?,The Persistence of Memory
Who is Lisa Gherardini?,"the Mona Lisa model, probably..."
What figure skating move involves spinning your partner by the arm while they're low and parallel to the ice?,the death spiral
What's in a zombie?,rum
What's the main ingredient in shoofly pie?,molasses
Which volcano destroyed Pompeii?,Mount Vesuvius
Where was Irish Spring soap first introduced?,Germany
What type of pasta looks like a fancy bow tie?,farfalle
Which of these Axe Body Spray scents did I just make up?,Extra Dark
Who solved The Secret of the Old Clock?,Nancy Drew
What is the traditional order of a triathlon?,"swimming, biking, running"
Who was in the funny pages first?,Blondie
What's the melting point of chocolate?,about 60°F
Which of these is 1 of the 8 Clown Commandments provided by Clowns of America International?,I will never drink alcohol in clown makeup
How many Earths could fit inside the Sun?,about 1.3 million
What has the most calories?,a tbsp of olive oil
What does it mean if a statue is callipygian?,It has a nice butt
Whose real name is Norville Rogers?,Shaggy from Scooby-Doo
Why are brown eggs usually more expensive than white eggs?,they're laid by bigger chickens
What do Scoville units measure?,spiciness of peppers
What percentage of Earth's animal species are spineless?,over 95%
Who's a French vampire?,Lestat de Lioncourt
Which of these is a lizard?,horned toad
Where do peanuts grow?,underground
"What animal has the nickname ""blue flyer""?",a red kangaroo
Who helped the Grinch steal Christmas?,a dog named Max
What's peppermint?,a hybrid of spearmint & watermint
What weapon slays the Jabberwocky in Through the Looking-Glass?,a vorpal sword
Who would you NOT find on Mount Olympus?,Neptune
"Which of these is like, a real term for a part of a saxophone?",tone hole
Who needs the LEAST amount of sleep?,an elephant
When did police FIRST start keeping track of fingerprints?,1900s
How many shapes are there in Tetris?,7
When were windshield wipers invented?,the same year as flight
How can I connect two pieces of rope?,a sheet bend knot
Where does cinnamon come from?,tree bark
If your plane gets lost in the Bermuda Triangle where will you crash?,in the Atlantic Ocean
My favorite yoga pose is standing up straight with my arms at my side. What's that called?,Mountain Pose
How far can a rook travel in a single chess move?,seven
Which cheese is traditionally made from cow milk?,gruyère
According to IMDb which of these horror films has the smallest cast?,Paranormal Activity
"Botanically, which of these are berries?",bananas
Where do you wear a circlet?,on my head
What is the Mariana Trench shaped like?,a crescent moon
Who NEVER successfully conquered Egypt?,Genghis Khan
Which of these is the title of a Maya Angelou poem?,Touched by an Angel
"Who is the singer of ""It Ain't Me""?",It is Selena Gomez
Which of these countries has some mountains?,Romania
How long is a marathon?,26.2 miles
Who wears a tunic?,The Jolly Green Giant
Where do sweet delicious marshmallows come from?,the marshmallow herb
Which of these book sequels is NOT real?,The Next Gatsby by F. Scott Fitzgerald
Who is NOT a puppet?,Toby from Labyrinth
What is a primary ingredient of Worcestershire Sauce?,dissolved fish
According to NASA what are rain drops actually shaped like?,hamburger buns
What's keeping you balanced?,the vestibular system in my ear
What were jigsaw puzzles originally called?,dissected maps
How many questions are in each edition of Trivial Pursuit?,6000
"A male cat is a Tom, but what is a female cat called?",a Queen
"If you searched your heart, what would you find?",2 atria
Where would you find a My Little Pony's cutie mark?,on their flank
Until 1990 what were Snickers candy bars called in the UK?,Marathon Bars
What causes brain freeze?,cold food on the roof of your mouth
What is the Sphinx mostly made of?,limestone
What are football special teams for?,kicks and kick returns
Which of these movies has g-g-g-ghosts in it?,Ghost Town
"What do you call the electronic musical instrument that makes those ""ooo oooo ooo"" sounds?",a theremin
What type of bridge is the current London Bridge?,a box girder bridge
What has three hearts?,an octopus
What else is weird about the platypus!?!?,It doesn't have a stomach
When was the first submarine attack?,during the Revolutionary War
Which island's flag features a sinking ship?,Bermuda
"If you hit the dead center on a dartboard, how many points is it worth?",50 points
What's a broomstick skirt?,a long skirt with a wrinkled look
Who's the cat that won't cop out when there's danger all about?,Shaft
"What does the V in ""V8 engine"" mean?",the engine is shaped like a V
If winds are blowing at about 131-155 MPH what do we have?,a category 4 hurricane
Seriously... Who Framed Roger Rabbit?,Judge Doom
Where is the oldest operating university in the world?,Morocco
Which of these is a Vincent van Gogh painting?,Skull of a Skeleton with Burning Cigarette
Which of these plants do NOT flower?,a fern
"What happens to the lovers at the end of Taylor Swift's ""Love Story""?",they get engaged
"When life flips you upside down and drops you headfirst into the floor, what professional wrestling move is that?",piledriver
What has the shortest wavelength?,x-rays
When is Celsius the same as Fahrenheit?,when it's -40°
Which sword could I NOT bring to fencing practice?,a claymore
What golf term means the same thing as a double birdie?,an eagle
If I pushed your head into a honeybee hive,soldier bees
"If I wanted to push you off the top of a tower, which of these would provide the longest fall?",CN Tower
What is NOT in the original Dracula novel?,Dracula is burned by sunlight
Which beach has the longest coastline?,Ninety Mile Beach in Australia
What does Harry Potter find in the Chamber of Secrets?,a really big snake
The Large Hadron Collider is currently the biggest machine in the world. What's its circumference?,17 miles
How many lifeboats did the Titanic have?,20
According to legend who was taken away by fairies to heal in case England ever needs him again?,King Arthur
What were Twinkies originally filled with?,banana cream
"Which sport is known as ""the sweet science""?",boxing
What do archaeologists believe killed King Tut?,a broken leg
In Norse mythology what will happen during Ragnarök?,a wolf will eat the sun
What used to be known as the Sandwich Islands?,the Hawaiian Islands
What does poison ivy look like?,green with three leaves
Which plant grows the fastest?,bamboo
Which planet has a solid surface?,Venus
Which colorful book came first?,The Red Badge of Courage
"What do you get if you win Shirley Jackson's ""The Lottery""?",stoned to death
There is no country that begins with what letter?,W
What do strong updrafts in storms cause?,hale
What is NOT a part of a battery?,moderator band
Which of these inventions did Thomas Edison patent first?,the phonograph
Where was the tea bag invented?,USA
How did the Headless Horseman lose his head?,cannonball
Who is the main antagonist of The Nutcracker?,The Mouse King
What turns the lady into a swan in Swan Lake?,an evil sorcerer
Who invented the first electronic computing machine in 1822?,Charles Babbage
Manneken Pis is one of the most famous landmarks in Brussels but what is it?,a statue of a boy peeing
How long was World War II?,6 years
"Violin strings are sometimes made of ""catgut""... which apparently isn't made from real cat guts at all but is instead made from what?""",sheep intestines
What is NOT something that can kill you in the original video game version of Frogger?,Fish
What's the official name of that stick conductors wave around to lead an orchestra?,a baton
Which of these do you actually COOK?,lobster newburg
Where is your ACL?,knee
What's almost always flavored with juniper berries?,gin
Where was judo developed?,Japan
What color are the lights on commercial airline wings?,"green on left wing, red on right wing"
What heartless monster killed Beth in her novel Little Women!?,Louisa May Alcott
According to Maslow what's the highest need...the one at the top of the pyramid?,self-actualization
How many candles do you light on Kwanzaa?,7
Capybaras are the largest rodent in the world! What's the second largest?,the American beaver
Which of these poker hands is the best?,a full house
What's gross?,a number without deductions
"In the poem ""A Visit from St. Nicholas "" what does Santa say FIRST?","Now, Dasher!"
Where does the movie Casablanca take place?,Morocco
What famous scientist is buried at Westminster Abbey?,Charles Darwin
If you're lost in the Sahara Desert which country could you be in?,Egypt
What's the official name of the instrument I use to smack balls around in croquet?,a mallet
The Conspiracy Keanu meme is a picture of Keanu Reeves from what movie?,Bill & Ted's Excellent Adventure
"In the classic comedy routine ""Who's on First?"" who is on third?",I Don't Know
In the original novel why does The Phantom of the Opera wear a mask?,he was born disfigured
Which herb has flat oval-shaped leaves with a velvety texture?,sage
How long did alcohol prohibition last in the United States?,13 years
What type of rock is chalk?,limestone
Who's a widower?,Liam Neeson in Love Actually
Whose memoir is titled Is Everyone Hanging Out Without Me?,Mindy Kaling
"What very serious sport has a position called ""Silly Point?""",Cricket
Which anime series features Mikasa and Eren fighting skinless giants?,Attack on Titan
Rip Van Winkle slept through which war?,The American Revolution
Which of these classical pieces of music traditionally features cannon fire?,1812 Overture
Which ocean does NOT have sharks?,all oceans have sharks
How far does a horse have to run in the Kentucky Derby?,1.25 miles
"Which is NOT something the Devil claims to have done in the song ""Sympathy for the Devil""?",I taught man to hate in chorus
Hey what muscle is in your leg again?,tibialis anterior
What was the first vaccine created to combat?,smallpox
"What sick twisted woman named her lamb best friend ""Lamb Chop""?",Shari Lewis
Which of these is a constituent country of the Netherlands?,Aruba
Which radical dude painted the ceiling of the Sistine Chapel?,Michelangelo
When did the Macy's Thanksgiving Parade begin?,the 1920s
Who's a somnambulist?,a sleepwalker
Which of these is an alloy?,brass
"In Romeo & Juliet, what is Juliet's last name?",Capulet
Which of these is NOT a Frida Kahlo painting?,Self-Portrait with Wedding Dress
"The Four Truths of Buddhism all concern dukkha... but what does ""dukkha"" mean?",suffering
Which fruit is native to Europe?,raspberries
Besides within us all... where is The Secret Garden?,England
Instead of real estate what do players collect in Monopoly for Millennials?,experiences
Which of these is NOT one of the four fundamental forces of flight?,balance
I'm making a mythological griffin! I have half an eagle! Now what do I need?,half a lion
Who co-wrote a book of their musings called Thank You and You're Welcome?,Kanye West
What was the name of Oedipus Rex's mom?,Jocasta
When characters in fiction don't have information but the audience does... what's that called?,dramatic irony
"Which video game begins with the phrase ""War. War never changes.""?",Fallout
When did those jerks at the International Astronomical Union officially say Pluto is no longer a planet?,2006
The constellation Capricornus is also known as what?,The Sea Goat
What would an astronomer say about an object with a non-circular orbit?,It's very ECCENTRIC.
Which of these stores was founded in Germany?,Aldi
Where would you find The Haunted Mansion in the original Disneyland?,New Orleans Square
Who is chasing Jean Valjean in Les Misérables?,Javert
Which of these is Indian?,masala chai
"Whenever I'm eventually on trial for murder in London, how many jurors would there be?",12
What is the periosteum?,the outermost layer of a bone
What car company built that weird little robot called ASIMO?,Honda
Scandinavia banned kids from seeing which movie because it portrayed adults as the villains?,E.T. the Extra-Terrestrial
Which podcast features Felicia Day as a shapeshifting zookeeper?,Welcome to Night Vale
What gets a soccer... or futbol... player thrown out of a game?,a red card
According to Freud what is responsible for your sense of morality?,superego
What is mincemeat pie usually filled with these days?,dried fruit
For real though what's an octopus?,a cephalopod
What is the BBC version of Shark Tank called?,Dragons' Den
"""For every action there is an equal and opposite reaction"" Whose law is this?",Newton's law
What makes bile?,your liver
How many strikes do you have to throw to bowl a perfect game?,12
What did Don Quixote wear on his head because he thought it was a magic helmet?,a barber's basin
What makes eggs?,the ovaries
Albert Einstein won his Nobel Prize in what category?,physics
Never Let Me Go is a coming of age novel about a group of kids who turn out to be what?,clones
Which of these Pokémon is a poison type?,Ekans
They all have good walls but which of these Chinese cities contains part of the Great Wall?,Beijing
"Which part of a hot air balloon is technically called ""the envelope""?",the balloon
What type of mirror makes me look all tall and skinny and weird?,convex mirrors
Which member of the Ocean's 8 team was the computer hacker?,Rihanna
If I hit a British person with a spanner what did I just strike them with?,a wrench
What's the title of the final book in The Hunger Games trilogy?,Mockingjay
In The Girl with the Dragon Tattoo where is the protagonist's titular dragon tattoo?,on her back
How long does it take a freshly laid egg to hatch into a baby chicken?,3 weeks
Which of these wines was named after the place where it was created?,champagne
Where does ground chuck come from?,a cow's shoulder
What does the pancreas make?,insulin
In ballet what's it called when I'm standing with my feet apart and my arms wide open for a hug?,2nd position
What Egyptian god has the face of a kitty cat?,Bastet
Which musical features characters named Tracy Turnblad Motormouth Maybelle and Seaweed?,Hairspray
If I add sugar and cinnamon to my pickling process what kind of pickle am I making?,bread and butter pickles
How many eyes do caterpillars have?,12
As of 2019 how many people have walked on the moon?,12
Who is James Bond's boss?,M
What constellation only gets three stars?,Orion's Belt
If you're being eaten by an animal that has thousands of teeth you're being chewed up by what?,a snail
A French cassoulet is a dish traditionally consisting of meats pork skin and what?,white beans
Traditionally which one of these drinks contains alcohol?,Ginger Rogers
What hammer has a textured striking surface to create patterns in masonry?,bush hammer
Where do MMA fighters fight?,in an octagon
Where was King Tut's body found?,in The Valley of the Kings
Which planet has the largest moon?,Jupiter
Which of these is a Chance the Rapper mixtape?,Coloring Book
What style would create a beautiful hair crown that goes all the way around my head?,milkmaid braid
What was Saturn the god of?,agriculture & time
Who fought Muhammad Ali in the Thrilla in Manila?,Joe Frazier
How many strings does a traditional ukulele have?,4
Which breed of dog is typically the cutest little thing... I mean the smallest?,Maltese
Which of these is a Proust novel?,In Search of Lost Time
What's the deepest river in the world?,The Congo River
What's the heaviest organ in the human body?,the liver
What sushi dish traditionally contains eel?,Dragon Roll
What do you get when you mix tin and copper?,bronze
What is the full name of the vampire on Sesame Street?,Count von Count
What am I paying my horologist for?,to fix my watch
Which of these basketball players did NOT have their skills stolen by the Monstars in the original Space Jam?,Karl Malone
What do sumo wrestlers throw in the air to purify their ring?,salt
How many toes does a pig have on each hoof?,4
What is sodium bicarbonate?,baking soda
Where would you find a kitty's carpal whiskers?,on her legs
What is Salt-N-Pepa?,a musical trio
What did Charles Lindbergh do that made him so special?,flew across the Atlantic Ocean
"What does the ""S"" in ASMR stand for?",sensory
Who gives birth to live young?,anacondas
Yin and Yang are symbols central to which religion?,Taoism
Which of these statues is NOT completely naked?,Venus de Milo
What would you find outside of the Mori Art Museum in Tokyo?,a giant metal spider
"Who originally wrote ""It is better to be feared than loved""?",Niccolò Machiavelli
"Which of these horror movies features the classic line ""Be afraid... be very afraid""?",The Fly
Where is the Taj Mahal?,"Agra, India"
Which of these champagnes is the driest?,brut
In The Book of One Thousand and One Nights where did Aladdin originally find the genie?,in a ring
According to legend who tried to make their horse a senator?,Caligula
If I have a ton of bones in my basement what do I basically have?,0.91 metric tons of bones
Out of all the mammals found on land why do I find moose the most attractive?,they have the largest eyes
What does a car alternator do?,charges the car's battery
Who wrote The Secret?,Rhonda Byrne
According to legend where does the Ogopogo lake monster live?,Canada
Which of these plants is in the mint family?,lavender
I had my first kiss in 1986 while watching Halley's Comet fly by... when can I expect to be kissed again?,2061
What else did Gustave Eiffel help build?,Westminster Abbey
Which of these space rocks could you trip over... because it actually lands on the ground?,meteorite
Which superhero is NOT royalty?,Doctor Strange
Which cereal has a mascot that is spineless?,Honey Nut Cheerios
Which of these authors spent some time in prison?,Oscar Wilde
Which of these snacks has a toxic shell?,cashews
As of 2018 how long is the NBA shot clock?,24 seconds
What movie features Terrence Howard and Taraji P. Henson trying to start a musical empire?,Hustle & Flow
What is written on the tablet the Statue of Liberty is holding?,"the date July 4th, 1776"
Who was Ozymandias king of kings?,an Egyptian ruler
If I'm giving myself a French tip nail what does that mean?,the nail tip is a different color
Which of these cars has four doors?,Dodge Charger
In what Edgar Allan Poe story is somebody killed because they have a weird eye?,The Tell-Tale Heart
Where is the tallest tree in the world?,The United States
